id_alimento;Grupo;Fuente;Alimento;Energia_kcal;Proteina_g;Grasa_total_g;Carbohidratos_g;Fibra_g;AGS_g;AGM_g;AGPI_g;Colesterol_mg;Calcio_mg;Fosforo_mg;Hierro_mg;Potasio_mg;Sodio_mg;Zinc_mg;VitaminaC_mg;VitaminaA_ug_ERE;Folatos_ug;VitaminaB12_ug
683;grasas y frutos secos;;Semillas, de pistacho, tostada con sal;606,25;21,35;45,97;26,78;10,3;5,55;24,22;13,9;;;485;4,2;1042;405;2,3;2;13;50;
684;grasas y frutos secos;7;Semillas, de sambo, enteras, Camari;562;24,5;46;12,5;5,3;;;;;;1170;15;;18;;;;;
685;azucares;;Arrope de mora, Grand Mother;293,33;0;0;73,33;0;0;;;0;;;;;0;;;;;
686;azucares;7;Azúcar, blanca, con stevia, Valdez;320;0;0;80;0;0;;;0;;;;;0;;;;;
687;azucares;;Azúcar, blanca, granulada;396,4;0;0;99,1;;0;0;0;0;5;1;0,1;;0;;;0;;
688;azucares;7;Azúcar, con stevia, con omega 3, Sugar Lite;960;0;0;240;0;0;;;0;;;;;0;;;;;
689;azucares;;Azúcar, de coco, orgánico, Valdez;400;0;0;100;0;0;;;0;;;;;0;;;;;
690;azucares;1;Azúcar, morena, granulada;389,32;0;0;97,33;0;0;0;0;0;85;22;1,91;346;39;0,18;0;0;1;0
691;azucares;;Azúcar, morena, granulada, San Carlos;400;0;0;100;;;;;0;;;;;20;;;;;
692;azucares;7;Azúcar, morena, La Troncal;400;0;0;100;0;0;;;0;;;;;0;;;;;
693;azucares;;Azúcar, morena, sin sulfitar, Schullo;400;0;0;100;0;0;;;;;;;;0;;;;;
694;azucares;7;Azúcar, morena, Supermaxi;400;0;0;100;;0;;;0;;;;;0;;;;;
695;azucares;;Caña de azúcar;400;0;0;100;;;;;;;;;;0;;;;;
696;azucares;1;Caña de azúcar, jugo;84,1;0,3;0,1;20,5;;;;;;13;12;0,7;;;;2;;;
697;azucares;;Caramelo, confites duros, promedio;393,8;0;0,2;98;0;0;0;0;0;3;3;0,3;5;38;0,01;0;0;0;
698;azucares;1;Caramelo, confites suaves, promedio;395,6;0;0;98,9;0,1;0;0;0;;;1;0,4;5;44;0;0;0;0;0
699;azucares;;Caramelo, sabor a chocolate, Bianchi;406,25;0;6,25;87,5;0;6,25;;;0;;;;;312,5;;;;;
700;azucares;7;Chocolate en polvo, Chocolisto;405;5;5;85;0;0;;;0;15;;25;;25;;0;25;;
701;azucares;;Chocolate en polvo, Cocoa;360;0;0;90;0;0;0;;0;;;;;10;;;;;
702;azucares;7;Chocolate en polvo, Milo;388;8;4;80;4;2;0;0;0;10;10;60;;300;;100;0;;
703;azucares;;Dulce de guayaba, promedio;369,4;0,4;1;89,7;;;;;;;23;2,3;;;;7;;;
704;azucares;1;Dulce de leche, majar, promedio;405,2;0,1;2,8;94,9;;;;;;14;10;2,1;;;;4;;;
705;azucares;;Dulce de leche, manjar, Alpen Swiss;370;6,67;10;63,33;0;5,33;;;33,33;;;;;150;;;;;
706;azucares;7;Dulce de leche, manjar, arequipe, Alpina;340;6,67;6,67;63,33;;5;;;23,33;;;;;133,33;;;;;
707;azucares;;Dulce de leche, manjar, Cachafaz;305;10;5;55;;5;;;20;;;;;120;;;;;
708;azucares;7;Dulce de leche, manjar, con coco, Pucuhuaico;370;10;10;60;;5;;;;;;;;100;;;;;
709;azucares;;Dulce de leche, manjar, Agricola Pucuhaico;370;10;10;60;;5;;;30;;;;;100;;;;;
710;azucares;7;Dulce de leche, manjar, Toni;353,33;6,67;6,67;66,67;0;0;0;0;26,67;;;;;166,67;;;;;
711;azucares;;Edulzante, en polvo, con extracto de fruta del monje, Monk Fruit;0;0;0;0;;0;;;0;;;;;0;;;;;
712;azucares;7;Edulzante, splenda, original;0;0;0;0;0;0;;;0;;;;;0;;;;;
713;azucares;;Edulzante, stevia, Stevia Life;0;0;0;0;0;0;;;0;;;;;0;;;;;
714;azucares;7;Endulzante, de panela, y edulcorante Natural, Valdez;320;0;0;80;0;0;;;0;;;;;0;;;;;
715;azucares;;Endulzante, de stevia balanceada con sucralosa, Dulcevia;0;0;0;0;;0;;;0;;;;;0;;;;;
716;azucares;7;Endulzante, stevia con azúcar, Valdez;320;;0;80;0;0;;;;;;;;0;;;;;
717;azucares;;Endulzante, stevia, en gotas;0;0;0;0;;0;;;0;;;;;0;;;;;
